Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет,question,answer,snippet
За что меня могут привлечь к дисциплинарной ответственности?,"Дисциплинарная ответственность наступает за совершение дисциплинарного проступка, то есть за неисполнение или ненадлежащее исполнение работником по его вине возложенных на него трудовых обязанностей (статья 192 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,107849.0,108115.0,"За совершение дисциплинарного проступка, то есть неисполнение или ненадлежащее
исполнение работником по его вине возложенных на него трудовых обязанностей, работодатель имеет
право применить следующие дисциплинарные взыскания:
1) замечание;
2) выговор;
3) увольнение по соответствующим основаниям.",За что меня могут привлечь к дисциплинарной ответственности?,"Дисциплинарная ответственность наступает за совершение дисциплинарного проступка, то есть за неисполнение или ненадлежащее исполнение работником по его вине возложенных на него трудовых обязанностей (статья 192 Трудового кодекса РФ).","За совершение дисциплинарного проступка, то есть неисполнение или ненадлежащее
исполнение работником по его вине возложенных на него трудовых обязанностей, работодатель имеет
право применить следующие дисциплинарные взыскания:
1) замечание;
2) выговор;
3) увольнение по соответствующим основаниям."
Какие виды дисциплинарных взысканий может применить работодатель?,"Работодатель имеет право применить следующие дисциплинарные взыскания: замечание, выговор, увольнение по соответствующим основаниям (статья 192 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,107849.0,108115.0,"За совершение дисциплинарного проступка, то есть неисполнение или ненадлежащее
исполнение работником по его вине возложенных на него трудовых обязанностей, работодатель имеет
право применить следующие дисциплинарные взыскания:
1) замечание;
2) выговор;
3) увольнение по соответствующим основаниям.",Какие виды дисциплинарных взысканий может применить работодатель?,"Работодатель имеет право применить следующие дисциплинарные взыскания: замечание, выговор, увольнение по соответствующим основаниям (статья 192 Трудового кодекса РФ).","За совершение дисциплинарного проступка, то есть неисполнение или ненадлежащее
исполнение работником по его вине возложенных на него трудовых обязанностей, работодатель имеет
право применить следующие дисциплинарные взыскания:
1) замечание;
2) выговор;
3) увольнение по соответствующим основаниям."
В каком порядке применяется дисциплинарное взыскание?,"До применения дисциплинарного взыскания работодатель должен затребовать от работника письменное объяснение. Если по истечении двух рабочих дней указанное объяснение работником не представлено, то составляется соответствующий акт. Дисциплинарное взыскание применяется не позднее одного месяца со дня обнаружения проступка, не считая времени болезни работника, пребывания его в отпуске, а также времени, необходимого на учет мнения представительного органа работников (статья 193 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,108812.0,109638.0,"До применения дисциплинарного взыскания работодатель должен затребовать от работника
письменное объяснение. Если по истечении двух рабочих дней указанное объяснение работником не
предоставлено, то составляется соответствующий акт.
Непредоставление работником объяснения не является препятствием для применения
дисциплинарного взыскания.
Дисциплинарное взыскание применяется не позднее одного месяца со дня обнаружения
проступка, не считая времени болезни работника, пребывания его в отпуске, а также времени, 
необходимого на учет мнения представительного органа работников.",В каком порядке применяется дисциплинарное взыскание?,"До применения дисциплинарного взыскания работодатель должен затребовать от работника письменное объяснение. Если по истечении двух рабочих дней указанное объяснение работником не представлено, то составляется соответствующий акт. Дисциплинарное взыскание применяется не позднее одного месяца со дня обнаружения проступка, не считая времени болезни работника, пребывания его в отпуске, а также времени, необходимого на учет мнения представительного органа работников (статья 193 Трудового кодекса РФ).","До применения дисциплинарного взыскания работодатель должен затребовать от работника
письменное объяснение. Если по истечении двух рабочих дней указанное объяснение работником не
предоставлено, то составляется соответствующий акт.
Непредоставление работником объяснения не является препятствием для применения
дисциплинарного взыскания.
Дисциплинарное взыскание применяется не позднее одного месяца со дня обнаружения
проступка, не считая времени болезни работника, пребывания его в отпуске, а также времени, 
необходимого на учет мнения представительного органа работников."
Могут ли меня уволить за однократное опоздание на работу?,"Увольнение за однократное опоздание на работу может быть применено, если это расценено как грубое нарушение трудовых обязанностей (например, прогул без уважительных причин) (пункт 6 части первой статьи 81 Трудового кодекса РФ). Обычное опоздание может повлечь замечание или выговор.",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,54151.0,54635.0,"а) прогула, то есть отсутствия на рабочем месте без уважительных причин в течение всего
рабочего дня (смены) независимо от его (ее) продолжительности, а также в случае отсутствия на
рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены);",Могут ли меня уволить за однократное опоздание на работу?,"Увольнение за однократное опоздание на работу может быть применено, если это расценено как грубое нарушение трудовых обязанностей (например, прогул без уважительных причин) (пункт 6 части первой статьи 81 Трудового кодекса РФ). Обычное опоздание может повлечь замечание или выговор.","а) прогула, то есть отсутствия на рабочем месте без уважительных причин в течение всего
рабочего дня (смены) независимо от его (ее) продолжительности, а также в случае отсутствия на
рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены);"
Что такое прогул?,"Прогулом считается отсутствие на рабочем месте без уважительных причин в течение всего рабочего дня (смены) независимо от его (ее) продолжительности, а также отсутствие на рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены) (подпункт ""а"" пункта 6 части первой статьи 81 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,54151.0,54635.0,"а) прогула, то есть отсутствия на рабочем месте без уважительных причин в течение всего
рабочего дня (смены) независимо от его (ее) продолжительности, а также в случае отсутствия на
рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены);",Что такое прогул?,"Прогулом считается отсутствие на рабочем месте без уважительных причин в течение всего рабочего дня (смены) независимо от его (ее) продолжительности, а также отсутствие на рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены) (подпункт ""а"" пункта 6 части первой статьи 81 Трудового кодекса РФ).","а) прогула, то есть отсутствия на рабочем месте без уважительных причин в течение всего
рабочего дня (смены) независимо от его (ее) продолжительности, а также в случае отсутствия на
рабочем месте без уважительных причин более четырех часов подряд в течение рабочего дня (смены);"
"В каких случаях работник обязан возместить ущерб, причиненный работодателю?",Работник обязан возместить работодателю причиненный ему прямой действительный ущерб (статья 238 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,143749.0,144357.0,"Работник обязан возместить работодателю причиненный ему прямой действительный ущерб. 
Неполученные доходы (упущенная выгода) взысканию с работника не подлежат.
Под прямым действительным ущербом понимается реальное уменьшение наличного имущества
работодателя или ухудшение состояния указанного имущества (в том числе имущества третьих лиц, 
находящегося у работодателя, если работодатель несет ответственность за сохранность этого
имущества), а также необходимость для работодателя произвести затраты либо излишние выплаты на
приобретение, восстановление имущества либо на возмещение ущерба, причиненного работником
третьим лицам.","В каких случаях работник обязан возместить ущерб, причиненный работодателю?",Работник обязан возместить работодателю причиненный ему прямой действительный ущерб (статья 238 Трудового кодекса РФ).,"Работник обязан возместить работодателю причиненный ему прямой действительный ущерб. 
Неполученные доходы (упущенная выгода) взысканию с работника не подлежат.
Под прямым действительным ущербом понимается реальное уменьшение наличного имущества
работодателя или ухудшение состояния указанного имущества (в том числе имущества третьих лиц, 
находящегося у работодателя, если работодатель несет ответственность за сохранность этого
имущества), а также необходимость для работодателя произвести затраты либо излишние выплаты на
приобретение, восстановление имущества либо на возмещение ущерба, причиненного работником
третьим лицам."
В каком размере работник несет материальную ответственность?,"По общему правилу, работник несет ограниченную материальную ответственность в пределах своего среднего месячного заработка (статья 241 Трудового кодекса РФ). Полная материальная ответственность может быть возложена на работника только в случаях, предусмотренных статьей 243 Трудового кодекса РФ (например, при недостаче ценностей, вверенных ему на основании специального письменного договора).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,144704.0,144914.0,"За причиненный ущерб работник несет материальную ответственность в пределах своего
среднего месячного заработка, если иное не предусмотрено настоящим Кодексом или иными
федеральными законами.",В каком размере работник несет материальную ответственность?,"По общему правилу, работник несет ограниченную материальную ответственность в пределах своего среднего месячного заработка (статья 241 Трудового кодекса РФ). Полная материальная ответственность может быть возложена на работника только в случаях, предусмотренных статьей 243 Трудового кодекса РФ (например, при недостаче ценностей, вверенных ему на основании специального письменного договора).","За причиненный ущерб работник несет материальную ответственность в пределах своего
среднего месячного заработка, если иное не предусмотрено настоящим Кодексом или иными
федеральными законами."
По каким основаниям может быть расторгнут трудовой договор по инициативе работника (по собственному желанию)?,"Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в письменной форме не позднее чем за две недели, если иной срок не установлен Трудовым кодексом РФ или иным федеральным законом (статья 80 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,53070.0,53467.0,"Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в
письменной форме не позднее чем за две недели, если иной срок не установлен настоящим Кодексом
или иным федеральным законом. Течение указанного срока начинается на следующий день после
получения работодателем заявления работника об увольнении.",По каким основаниям может быть расторгнут трудовой договор по инициативе работника (по собственному желанию)?,"Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в письменной форме не позднее чем за две недели, если иной срок не установлен Трудовым кодексом РФ или иным федеральным законом (статья 80 Трудового кодекса РФ).","Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в
письменной форме не позднее чем за две недели, если иной срок не установлен настоящим Кодексом
или иным федеральным законом. Течение указанного срока начинается на следующий день после
получения работодателем заявления работника об увольнении."
По каким основаниям может быть расторгнут трудовой договор по инициативе работодателя?,"Трудовой договор может быть расторгнут работодателем в случаях, предусмотренных статьей 81 Трудового кодекса РФ (например, ликвидация организации, сокращение штата, несоответствие работника занимаемой должности, неоднократное неисполнение работником без уважительных причин трудовых обязанностей, прогул).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,53806.0,54149.0,"Трудовой договор может быть расторгнут работодателем в случаях:
1) ликвидации организации либо прекращения деятельности индивидуальным
предпринимателем;
2) сокращения численности или штата работников организации, индивидуального
предпринимателя;
3) несоответствия работника занимаемой должности или выполняемой работе вследствие
недостаточной квалификации, подтвержденной результатами аттестации;",По каким основаниям может быть расторгнут трудовой договор по инициативе работодателя?,"Трудовой договор может быть расторгнут работодателем в случаях, предусмотренных статьей 81 Трудового кодекса РФ (например, ликвидация организации, сокращение штата, несоответствие работника занимаемой должности, неоднократное неисполнение работником без уважительных причин трудовых обязанностей, прогул).","Трудовой договор может быть расторгнут работодателем в случаях:
1) ликвидации организации либо прекращения деятельности индивидуальным
предпринимателем;
2) сокращения численности или штата работников организации, индивидуального
предпринимателя;
3) несоответствия работника занимаемой должности или выполняемой работе вследствие
недостаточной квалификации, подтвержденной результатами аттестации;"
За сколько меня должны предупредить об увольнении по сокращению штата?,"О предстоящем увольнении в связи с ликвидацией организации, сокращением численности или штата работников работодатель обязан предупредить работника персонально и под роспись не позднее чем за два месяца до увольнения (статья 180 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,103042.0,103340.0,"О предстоящем увольнении в связи с ликвидацией организации, сокращением численности или
штата работников организации работники предупреждаются работодателем персонально и под роспись
не менее чем за два месяца до увольнения.",За сколько меня должны предупредить об увольнении по сокращению штата?,"О предстоящем увольнении в связи с ликвидацией организации, сокращением численности или штата работников работодатель обязан предупредить работника персонально и под роспись не позднее чем за два месяца до увольнения (статья 180 Трудового кодекса РФ).","О предстоящем увольнении в связи с ликвидацией организации, сокращением численности или
штата работников организации работники предупреждаются работодателем персонально и под роспись
не менее чем за два месяца до увольнения."
Какие выплаты мне положены при увольнении по сокращению штата?,"При расторжении трудового договора в связи с ликвидацией организации либо сокращением численности или штата работников увольняемому работнику выплачивается выходное пособие в размере среднего месячного заработка, а также за ним сохраняется средний месячный заработок на период трудоустройства, но не свыше двух месяцев со дня увольнения (с зачетом выходного пособия) (статья 178 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,101006.0,101672.0,"При расторжении трудового договора в связи с ликвидацией организации (пункт 1 части
первой статьи 81 настоящего Кодекса) либо сокращением численности или штата работников
организации (пункт 2 части первой статьи 81 настоящего Кодекса) увольняемому работнику
выплачивается выходное пособие в размере среднего месячного заработка.
В случае, если длительность периода трудоустройства работника, уволенного в связи с
ликвидацией организации (пункт 1 части первой статьи 81 настоящего Кодекса) либо сокращением
численности или штата работников организации (пункт 2 части первой статьи 81 настоящего
Кодекса), превышает один месяц, работодатель обязан выплатить ему средний месячный заработок
за второй месяц со дня увольнения или его часть пропорционально периоду трудоустройства, 
приходящемуся на этот месяц...",Какие выплаты мне положены при увольнении по сокращению штата?,"При расторжении трудового договора в связи с ликвидацией организации либо сокращением численности или штата работников увольняемому работнику выплачивается выходное пособие в размере среднего месячного заработка, а также за ним сохраняется средний месячный заработок на период трудоустройства, но не свыше двух месяцев со дня увольнения (с зачетом выходного пособия) (статья 178 Трудового кодекса РФ).","При расторжении трудового договора в связи с ликвидацией организации (пункт 1 части
первой статьи 81 настоящего Кодекса) либо сокращением численности или штата работников
организации (пункт 2 части первой статьи 81 настоящего Кодекса) увольняемому работнику
выплачивается выходное пособие в размере среднего месячного заработка.
В случае, если длительность периода трудоустройства работника, уволенного в связи с
ликвидацией организации (пункт 1 части первой статьи 81 настоящего Кодекса) либо сокращением
численности или штата работников организации (пункт 2 части первой статьи 81 настоящего
Кодекса), превышает один месяц, работодатель обязан выплатить ему средний месячный заработок
за второй месяц со дня увольнения или его часть пропорционально периоду трудоустройства, 
приходящемуся на этот месяц..."
Что такое увольнение по соглашению сторон?,Трудовой договор может быть расторгнут в любое время по соглашению сторон (статья 78 Трудового кодекса РФ). Условия расторжения определяются соглашением между работником и работодателем.,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,52250.0,52477.0,"Трудовой договор может быть в любое время расторгнут по соглашению сторон трудового
договора.",Что такое увольнение по соглашению сторон?,Трудовой договор может быть расторгнут в любое время по соглашению сторон (статья 78 Трудового кодекса РФ). Условия расторжения определяются соглашением между работником и работодателем.,"Трудовой договор может быть в любое время расторгнут по соглашению сторон трудового
договора."
Могут ли меня уволить во время больничного или отпуска?,Расторжение трудового договора по инициативе работодателя (за исключением случая ликвидации организации либо прекращения деятельности индивидуальным предпринимателем) не допускается в период временной нетрудоспособности работника и в период его пребывания в отпуске (статья 81 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,55293.0,55651.0,"Не допускается увольнение работника по инициативе работодателя (за исключением случая
ликвидации организации либо прекращения деятельности индивидуальным предпринимателем) в
период его временной нетрудоспособности и в период пребывания в отпуске.",Могут ли меня уволить во время больничного или отпуска?,Расторжение трудового договора по инициативе работодателя (за исключением случая ликвидации организации либо прекращения деятельности индивидуальным предпринимателем) не допускается в период временной нетрудоспособности работника и в период его пребывания в отпуске (статья 81 Трудового кодекса РФ).,"Не допускается увольнение работника по инициативе работодателя (за исключением случая
ликвидации организации либо прекращения деятельности индивидуальным предпринимателем) в
период его временной нетрудоспособности и в период пребывания в отпуске."
Какие документы мне должны выдать при увольнении?,"В день прекращения трудового договора работодатель обязан выдать работнику трудовую книжку (если она ведется) и произвести с ним окончательный расчет (выплатить заработную плату за отработанное время, компенсацию за неиспользованный отпуск и другие причитающиеся выплаты) (статья 84.1 и статья 140 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,58347.0,58655.0,"В день прекращения трудового договора работодатель обязан выдать работнику трудовую
книжку или предоставить сведения о трудовой деятельности (статья 66.1 настоящего Кодекса) у
данного работодателя и произвести с ним расчет в соответствии со статьей 140 настоящего Кодекса.",Какие документы мне должны выдать при увольнении?,"В день прекращения трудового договора работодатель обязан выдать работнику трудовую книжку (если она ведется) и произвести с ним окончательный расчет (выплатить заработную плату за отработанное время, компенсацию за неиспользованный отпуск и другие причитающиеся выплаты) (статья 84.1 и статья 140 Трудового кодекса РФ).","В день прекращения трудового договора работодатель обязан выдать работнику трудовую
книжку или предоставить сведения о трудовой деятельности (статья 66.1 настоящего Кодекса) у
данного работодателя и произвести с ним расчет в соответствии со статьей 140 настоящего Кодекса."
"Что делать, если я считаю свое увольнение незаконным?","Если вы считаете свое увольнение незаконным, вы имеете право обратиться в государственную инспекцию труда или в суд для разрешения индивидуального трудового спора (статья 391 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,227158.0,227610.0,"Статья 353. Федеральный государственный контроль (надзор) за соблюдением трудового
законодательства и иных нормативных правовых актов, содержащих нормы трудового
права
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 353 ТК РФ
Федеральный государственный контроль (надзор) за соблюдением трудового законодательства и
иных нормативных правовых актов, содержащих нормы трудового права, осуществляется федеральной
инспекцией труда.","Что делать, если я считаю свое увольнение незаконным?","Если вы считаете свое увольнение незаконным, вы имеете право обратиться в государственную инспекцию труда или в суд для разрешения индивидуального трудового спора (статья 391 Трудового кодекса РФ).","Статья 353. Федеральный государственный контроль (надзор) за соблюдением трудового
законодательства и иных нормативных правовых актов, содержащих нормы трудового
права
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 353 ТК РФ
Федеральный государственный контроль (надзор) за соблюдением трудового законодательства и
иных нормативных правовых актов, содержащих нормы трудового права, осуществляется федеральной
инспекцией труда."
В какой срок я могу обратиться в суд с иском о незаконном увольнении?,Работник имеет право обратиться в суд за разрешением индивидуального трудового спора об увольнении в течение одного месяца со дня вручения ему копии приказа (распоряжения) об увольнении либо со дня выдачи трудовой книжки (статья 392 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,245950.0,246549.0,"Работник имеет право обратиться в суд за разрешением индивидуального трудового спора в
течение трех месяцев со дня, когда он узнал или должен был узнать о нарушении своего права, а по
спорам об увольнении - в течение одного месяца со дня вручения ему копии приказа об увольнении
либо со дня выдачи трудовой книжки или со дня предоставления работнику в связи с его увольнением
сведений о трудовой деятельности (статья 66.1 настоящего Кодекса) у работодателя по последнему
месту работы.",В какой срок я могу обратиться в суд с иском о незаконном увольнении?,Работник имеет право обратиться в суд за разрешением индивидуального трудового спора об увольнении в течение одного месяца со дня вручения ему копии приказа (распоряжения) об увольнении либо со дня выдачи трудовой книжки (статья 392 Трудового кодекса РФ).,"Работник имеет право обратиться в суд за разрешением индивидуального трудового спора в
течение трех месяцев со дня, когда он узнал или должен был узнать о нарушении своего права, а по
спорам об увольнении - в течение одного месяца со дня вручения ему копии приказа об увольнении
либо со дня выдачи трудовой книжки или со дня предоставления работнику в связи с его увольнением
сведений о трудовой деятельности (статья 66.1 настоящего Кодекса) у работодателя по последнему
месту работы."
